<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.09.01	02:11:00	1.00497	1.00497	1.00491	1.00497	25	0	0
2022.09.01	02:12:00	1.00496	1.00506	1.00496	1.00503	12	0	0
2022.09.01	02:13:00	1.00502	1.00503	1.00495	1.00495	18	0	0
2022.09.01	02:14:00	1.00495	1.00499	1.00490	1.00490	12	0	1
2022.09.01	02:15:00	1.00491	1.00499	1.00486	1.00489	35	0	1
2022.09.01	02:16:00	1.00489	1.00490	1.00482	1.00482	23	0	0
2022.09.01	02:17:00	1.00483	1.00486	1.00482	1.00485	9	0	1
2022.09.01	02:18:00	1.00486	1.00488	1.00484	1.00484	25	0	1
2022.09.01	02:19:00	1.00479	1.00486	1.00479	1.00481	20	0	1
2022.09.01	02:20:00	1.00480	1.00489	1.00478	1.00487	23	0	0
2022.09.01	02:21:00	1.00487	1.00487	1.00473	1.00475	36	0	0
2022.09.01	02:22:00	1.00478	1.00485	1.00475	1.00485	30	0	1
2022.09.01	02:23:00	1.00484	1.00489	1.00474	1.00475	42	0	1
2022.09.01	02:24:00	1.00475	1.00476	1.00469	1.00470	23	0	1
2022.09.01	02:25:00	1.00469	1.00472	1.00464	1.00467	29	0	1
2022.09.01	02:26:00	1.00467	1.00468	1.00460	1.00468	53	0	0
2022.09.01	02:27:00	1.00468	1.00468	1.00462	1.00463	15	0	1
2022.09.01	02:28:00	1.00463	1.00463	1.00454	1.00460	24	0	1
2022.09.01	02:29:00	1.00460	1.00460	1.00432	1.00438	30	0	1
2022.09.01	02:30:00	1.00439	1.00443	1.00417	1.00420	60	0	0
2022.09.01	02:31:00	1.00420	1.00422	1.00394	1.00416	106	0	1
2022.09.01	02:32:00	1.00415	1.00433	1.00414	1.00424	53	0	1
2022.09.01	02:33:00	1.00424	1.00426	1.00413	1.00416	24	0	0
2022.09.01	02:34:00	1.00416	1.00422	1.00410	1.00421	38	0	0
2022.09.01	02:35:00	1.00427	1.00431	1.00425	1.00427	30	0	1
2022.09.01	02:36:00	1.00426	1.00427	1.00417	1.00417	8	0	1
2022.09.01	02:37:00	1.00420	1.00421	1.00413	1.00413	34	0	0
2022.09.01	02:38:00	1.00412	1.00413	1.00404	1.00404	24	0	1
2022.09.01	02:39:00	1.00404	1.00409	1.00401	1.00408	32	0	0
2022.09.01	02:40:00	1.00408	1.00413	1.00406	1.00411	43	0	0
2022.09.01	02:41:00	1.00411	1.00413	1.00407	1.00409	28	0	1
2022.09.01	02:42:00	1.00408	1.00408	1.00405	1.00406	25	0	1
2022.09.01	02:43:00	1.00406	1.00409	1.00402	1.00402	12	0	1
2022.09.01	02:44:00	1.00407	1.00408	1.00400	1.00401	30	0	1
2022.09.01	02:45:00	1.00401	1.00410	1.00401	1.00407	21	0	0
2022.09.01	02:46:00	1.00407	1.00412	1.00405	1.00407	33	0	1
2022.09.01	02:47:00	1.00407	1.00410	1.00406	1.00408	13	0	1
2022.09.01	02:48:00	1.00408	1.00408	1.00400	1.00404	18	0	1
2022.09.01	02:49:00	1.00404	1.00404	1.00382	1.00382	40	0	1
2022.09.01	02:50:00	1.00382	1.00382	1.00365	1.00366	88	0	1
2022.09.01	02:51:00	1.00366	1.00369	1.00363	1.00366	28	0	1
2022.09.01	02:52:00	1.00366	1.00370	1.00363	1.00370	36	0	1
2022.09.01	02:53:00	1.00370	1.00386	1.00370	1.00378	46	0	1
2022.09.01	02:54:00	1.00378	1.00378	1.00357	1.00357	56	0	1
2022.09.01	02:55:00	1.00359	1.00378	1.00351	1.00372	65	0	0
2022.09.01	02:56:00	1.00372	1.00393	1.00372	1.00392	56	0	0
2022.09.01	02:57:00	1.00392	1.00394	1.00386	1.00391	43	0	0
2022.09.01	02:58:00	1.00391	1.00394	1.00384	1.00391	34	0	1
2022.09.01	02:59:00	1.00390	1.00391	1.00380	1.00380	37	0	0
2022.09.01	03:00:00	1.00382	1.00382	1.00345	1.00345	90	0	1
2022.09.01	03:01:00	1.00345	1.00345	1.00323	1.00333	52	0	0
2022.09.01	03:02:00	1.00333	1.00338	1.00317	1.00322	64	0	0
2022.09.01	03:03:00	1.00322	1.00323	1.00303	1.00310	80	0	0
2022.09.01	03:04:00	1.00310	1.00323	1.00310	1.00322	50	0	0
2022.09.01	03:05:00	1.00322	1.00322	1.00307	1.00314	75	0	0
2022.09.01	03:06:00	1.00314	1.00314	1.00291	1.00296	54	0	1
2022.09.01	03:07:00	1.00297	1.00319	1.00296	1.00305	56	0	0
2022.09.01	03:08:00	1.00305	1.00311	1.00304	1.00309	39	0	1
2022.09.01	03:09:00	1.00309	1.00331	1.00309	1.00323	68	0	0
2022.09.01	03:10:00	1.00323	1.00324	1.00308	1.00310	59	0	1
2022.09.01	03:11:00	1.00310	1.00316	1.00309	1.00309	30	0	1
2022.09.01	03:12:00	1.00314	1.00314	1.00283	1.00292	77	0	0
2022.09.01	03:13:00	1.00292	1.00300	1.00272	1.00272	63	0	0
2022.09.01	03:14:00	1.00272	1.00283	1.00269	1.00272	59	0	0
2022.09.01	03:15:00	1.00273	1.00274	1.00260	1.00260	96	0	0
2022.09.01	03:16:00	1.00260	1.00272	1.00255	1.00260	94	0	0
2022.09.01	03:17:00	1.00260	1.00263	1.00248	1.00261	71	0	0
2022.09.01	03:18:00	1.00259	1.00264	1.00248	1.00251	102	0	1
2022.09.01	03:19:00	1.00250	1.00256	1.00234	1.00244	149	0	1
2022.09.01	03:20:00	1.00243	1.00264	1.00243	1.00261	79	0	1
2022.09.01	03:21:00	1.00261	1.00293	1.00257	1.00292	105	0	0
2022.09.01	03:22:00	1.00292	1.00297	1.00278	1.00278	78	0	1
2022.09.01	03:23:00	1.00278	1.00279	1.00259	1.00262	55	0	1
2022.09.01	03:24:00	1.00260	1.00260	1.00243	1.00257	76	0	1
2022.09.01	03:25:00	1.00257	1.00276	1.00248	1.00270	85	0	1
2022.09.01	03:26:00	1.00271	1.00275	1.00262	1.00273	60	0	0
2022.09.01	03:27:00	1.00272	1.00273	1.00250	1.00250	67	0	1
2022.09.01	03:28:00	1.00253	1.00273	1.00253	1.00266	99	0	1
2022.09.01	03:29:00	1.00267	1.00268	1.00258	1.00260	61	0	0
2022.09.01	03:30:00	1.00260	1.00276	1.00258	1.00269	87	0	1
2022.09.01	03:31:00	1.00270	1.00290	1.00268	1.00288	67	0	1
2022.09.01	03:32:00	1.00290	1.00292	1.00273	1.00277	56	0	1
2022.09.01	03:33:00	1.00277	1.00278	1.00253	1.00257	57	0	1
2022.09.01	03:34:00	1.00257	1.00260	1.00242	1.00249	76	0	1
2022.09.01	03:35:00	1.00249	1.00276	1.00249	1.00274	74	0	1
2022.09.01	03:36:00	1.00275	1.00275	1.00257	1.00258	55	0	1
2022.09.01	03:37:00	1.00257	1.00257	1.00241	1.00243	62	0	1
2022.09.01	03:38:00	1.00243	1.00250	1.00217	1.00222	102	0	1
2022.09.01	03:39:00	1.00220	1.00233	1.00216	1.00223	75	0	1
2022.09.01	03:40:00	1.00224	1.00240	1.00223	1.00234	80	0	1
2022.09.01	03:41:00	1.00235	1.00236	1.00222	1.00223	39	0	0
2022.09.01	03:42:00	1.00225	1.00228	1.00218	1.00227	65	0	1
2022.09.01	03:43:00	1.00227	1.00239	1.00214	1.00214	72	0	0
2022.09.01	03:44:00	1.00213	1.00221	1.00206	1.00213	68	0	1
2022.09.01	03:45:00	1.00214	1.00219	1.00200	1.00219	71	0	1
2022.09.01	03:46:00	1.00219	1.00222	1.00207	1.00216	57	0	1
2022.09.01	03:47:00	1.00217	1.00227	1.00211	1.00212	47	0	1
2022.09.01	03:48:00	1.00212	1.00220	1.00203	1.00219	55	0	1
2022.09.01	03:49:00	1.00220	1.00234	1.00219	1.00233	57	0	0
2022.09.01	03:50:00	1.00231	1.00248	1.00228	1.00248	74	0	1
2022.09.01	03:51:00	1.00249	1.00272	1.00243	1.00272	90	0	1
2022.09.01	03:52:00	1.00271	1.00272	1.00238	1.00242	94	0	1
2022.09.01	03:53:00	1.00242	1.00258	1.00241	1.00243	93	0	1
2022.09.01	03:54:00	1.00243	1.00252	1.00201	1.00216	207	0	1
2022.09.01	03:55:00	1.00221	1.00248	1.00221	1.00235	91	0	0
2022.09.01	03:56:00	1.00235	1.00239	1.00227	1.00231	44	0	1
2022.09.01	03:57:00	1.00231	1.00235	1.00220	1.00222	49	0	1
2022.09.01	03:58:00	1.00222	1.00232	1.00216	1.00219	75	0	1
2022.09.01	03:59:00	1.00221	1.00234	1.00205	1.00234	63	0	1
2022.09.01	04:00:00	1.00234	1.00263	1.00232	1.00260	140	0	1
2022.09.01	04:01:00	1.00257	1.00268	1.00248	1.00250	104	0	1
2022.09.01	04:02:00	1.00251	1.00266	1.00240	1.00266	71	0	1
2022.09.01	04:03:00	1.00265	1.00266	1.00247	1.00265	86	0	1
2022.09.01	04:04:00	1.00266	1.00281	1.00266	1.00281	65	0	1
2022.09.01	04:05:00	1.00280	1.00286	1.00271	1.00279	80	0	1
2022.09.01	04:06:00	1.00281	1.00281	1.00261	1.00263	58	0	1
2022.09.01	04:07:00	1.00263	1.00267	1.00259	1.00262	57	0	1
2022.09.01	04:08:00	1.00261	1.00284	1.00256	1.00281	53	0	1
2022.09.01	04:09:00	1.00281	1.00282	1.00273	1.00276	37	0	1
2022.09.01	04:10:00	1.00277	1.00282	1.00267	1.00278	66	0	1
2022.09.01	04:11:00	1.00278	1.00279	1.00261	1.00266	59	0	1
2022.09.01	04:12:00	1.00266	1.00267	1.00250	1.00265	81	0	0
2022.09.01	04:13:00	1.00266	1.00276	1.00261	1.00264	44	0	1
2022.09.01	04:14:00	1.00263	1.00268	1.00250	1.00258	57	0	1
2022.09.01	04:15:00	1.00258	1.00281	1.00258	1.00277	96	0	1
2022.09.01	04:16:00	1.00277	1.00297	1.00276	1.00296	68	0	0
2022.09.01	04:17:00	1.00296	1.00310	1.00292	1.00310	60	0	1
2022.09.01	04:18:00	1.00310	1.00320	1.00298	1.00312	62	0	1
2022.09.01	04:19:00	1.00312	1.00312	1.00293	1.00294	53	0	1
2022.09.01	04:20:00	1.00295	1.00300	1.00285	1.00287	42	0	1
2022.09.01	04:21:00	1.00288	1.00305	1.00283	1.00302	95	0	1
2022.09.01	04:22:00	1.00301	1.00318	1.00300	1.00301	84	0	1
2022.09.01	04:23:00	1.00300	1.00306	1.00292	1.00299	50	0	1
2022.09.01	04:24:00	1.00299	1.00299	1.00275	1.00281	48	0	1
2022.09.01	04:25:00	1.00281	1.00288	1.00272	1.00286	54	0	1
2022.09.01	04:26:00	1.00286	1.00287	1.00271	1.00275	44	0	0
2022.09.01	04:27:00	1.00271	1.00280	1.00268	1.00278	39	0	1
2022.09.01	04:28:00	1.00278	1.00278	1.00258	1.00260	50	0	1
2022.09.01	04:29:00	1.00260	1.00266	1.00246	1.00248	41	0	0
2022.09.01	04:30:00	1.00248	1.00248	1.00230	1.00231	67	0	1
2022.09.01	04:31:00	1.00230	1.00251	1.00225	1.00251	67	0	0
2022.09.01	04:32:00	1.00251	1.00252	1.00216	1.00223	132	0	0
2022.09.01	04:33:00	1.00223	1.00228	1.00218	1.00221	61	0	1
2022.09.01	04:34:00	1.00222	1.00241	1.00221	1.00229	65	0	1
2022.09.01	04:35:00	1.00226	1.00231	1.00214	1.00216	91	0	1
2022.09.01	04:36:00	1.00216	1.00234	1.00216	1.00225	48	0	1
2022.09.01	04:37:00	1.00226	1.00231	1.00206	1.00209	70	0	1
2022.09.01	04:38:00	1.00209	1.00235	1.00206	1.00226	63	0	1
2022.09.01	04:39:00	1.00226	1.00236	1.00224	1.00231	50	0	1
2022.09.01	04:40:00	1.00230	1.00231	1.00214	1.00216	67	0	1
2022.09.01	04:41:00	1.00214	1.00232	1.00214	1.00227	56	0	1
2022.09.01	04:42:00	1.00227	1.00245	1.00222	1.00245	55	0	1
2022.09.01	04:43:00	1.00243	1.00256	1.00242	1.00244	59	0	1
2022.09.01	04:44:00	1.00238	1.00264	1.00238	1.00258	53	0	1
2022.09.01	04:45:00	1.00257	1.00270	1.00241	1.00260	92	0	1
2022.09.01	04:46:00	1.00259	1.00259	1.00242	1.00255	55	0	1
2022.09.01	04:47:00	1.00254	1.00257	1.00245	1.00257	49	0	1
2022.09.01	04:48:00	1.00256	1.00256	1.00244	1.00249	52	0	0
2022.09.01	04:49:00	1.00251	1.00254	1.00236	1.00245	57	0	1
2022.09.01	04:50:00	1.00243	1.00256	1.00243	1.00247	46	0	1
2022.09.01	04:51:00	1.00249	1.00255	1.00234	1.00255	63	0	1
2022.09.01	04:52:00	1.00257	1.00263	1.00245	1.00246	74	0	1
2022.09.01	04:53:00	1.00247	1.00255	1.00245	1.00253	59	0	1
2022.09.01	04:54:00	1.00252	1.00258	1.00245	1.00245	46	0	1
2022.09.01	04:55:00	1.00245	1.00248	1.00229	1.00237	56	0	1
2022.09.01	04:56:00	1.00237	1.00245	1.00234	1.00238	35	0	1
2022.09.01	04:57:00	1.00234	1.00251	1.00228	1.00246	91	0	1
2022.09.01	04:58:00	1.00250	1.00252	1.00244	1.00246	80	0	1
2022.09.01	04:59:00	1.00245	1.00251	1.00235	1.00242	58	0	1
2022.09.01	05:00:00	1.00242	1.00253	1.00240	1.00246	82	0	1
2022.09.01	05:01:00	1.00246	1.00247	1.00234	1.00234	54	0	1
2022.09.01	05:02:00	1.00231	1.00258	1.00230	1.00257	54	0	1
2022.09.01	05:03:00	1.00256	1.00259	1.00250	1.00256	22	0	1
2022.09.01	05:04:00	1.00256	1.00262	1.00253	1.00261	41	0	1
2022.09.01	05:05:00	1.00261	1.00270	1.00249	1.00249	54	0	0
2022.09.01	05:06:00	1.00249	1.00262	1.00248	1.00261	40	0	1
2022.09.01	05:07:00	1.00260	1.00263	1.00255	1.00256	39	0	1
2022.09.01	05:08:00	1.00257	1.00258	1.00248	1.00256	58	0	1
2022.09.01	05:09:00	1.00257	1.00262	1.00254	1.00255	40	0	1
2022.09.01	05:10:00	1.00256	1.00256	1.00236	1.00238	64	0	1
2022.09.01	05:11:00	1.00238	1.00257	1.00235	1.00251	54	0	1
2022.09.01	05:12:00	1.00252	1.00280	1.00250	1.00279	49	0	1
2022.09.01	05:13:00	1.00280	1.00280	1.00265	1.00268	68	0	1
2022.09.01	05:14:00	1.00272	1.00276	1.00259	1.00266	42	0	1
2022.09.01	05:15:00	1.00266	1.00273	1.00260	1.00260	59	0	1
2022.09.01	05:16:00	1.00263	1.00266	1.00257	1.00260	37	0	1
2022.09.01	05:17:00	1.00261	1.00266	1.00261	1.00266	23	0	1
2022.09.01	05:18:00	1.00266	1.00270	1.00252	1.00255	48	0	1
2022.09.01	05:19:00	1.00255	1.00266	1.00255	1.00260	27	0	1
2022.09.01	05:20:00	1.00260	1.00267	1.00260	1.00267	35	0	1
2022.09.01	05:21:00	1.00267	1.00275	1.00260	1.00263	44	0	1
2022.09.01	05:22:00	1.00263	1.00270	1.00262	1.00268	45	0	1
2022.09.01	05:23:00	1.00268	1.00269	1.00257	1.00265	72	0	1
2022.09.01	05:24:00	1.00265	1.00266	1.00258	1.00263	45	0	1
2022.09.01	05:25:00	1.00264	1.00281	1.00263	1.00279	71	0	1
2022.09.01	05:26:00	1.00279	1.00280	1.00267	1.00280	31	0	1
2022.09.01	05:27:00	1.00280	1.00295	1.00275	1.00284	55	0	1
2022.09.01	05:28:00	1.00283	1.00286	1.00278	1.00281	34	0	1
2022.09.01	05:29:00	1.00282	1.00282	1.00271	1.00272	34	0	1
2022.09.01	05:30:00	1.00271	1.00271	1.00262	1.00265	32	0	1
2022.09.01	05:31:00	1.00265	1.00265	1.00259	1.00262	27	0	1
2022.09.01	05:32:00	1.00264	1.00267	1.00255	1.00260	51	0	1
2022.09.01	05:33:00	1.00260	1.00277	1.00260	1.00274	25	0	1
2022.09.01	05:34:00	1.00275	1.00283	1.00275	1.00280	23	0	1
2022.09.01	05:35:00	1.00280	1.00291	1.00278	1.00289	31	0	1
2022.09.01	05:36:00	1.00296	1.00302	1.00293	1.00293	41	0	1
2022.09.01	05:37:00	1.00293	1.00293	1.00280	1.00281	35	0	1
2022.09.01	05:38:00	1.00281	1.00281	1.00273	1.00276	18	0	1
2022.09.01	05:39:00	1.00276	1.00288	1.00275	1.00286	30	0	1
2022.09.01	05:40:00	1.00287	1.00287	1.00282	1.00287	19	0	1
2022.09.01	05:41:00	1.00287	1.00290	1.00282	1.00286	20	0	1
2022.09.01	05:42:00	1.00286	1.00287	1.00279	1.00280	25	0	1
2022.09.01	05:43:00	1.00280	1.00280	1.00269	1.00271	22	0	1
2022.09.01	05:44:00	1.00271	1.00271	1.00260	1.00261	18	0	0
2022.09.01	05:45:00	1.00261	1.00263	1.00258	1.00258	27	0	1
2022.09.01	05:46:00	1.00257	1.00273	1.00257	1.00263	56	0	1
2022.09.01	05:47:00	1.00263	1.00269	1.00260	1.00266	38	0	1
2022.09.01	05:48:00	1.00266	1.00268	1.00259	1.00264	24	0	1
2022.09.01	05:49:00	1.00264	1.00264	1.00253	1.00254	23	0	1
2022.09.01	05:50:00	1.00255	1.00261	1.00254	1.00255	24	0	1
2022.09.01	05:51:00	1.00255	1.00259	1.00250	1.00250	21	0	1
2022.09.01	05:52:00	1.00249	1.00250	1.00237	1.00238	38	0	1
2022.09.01	05:53:00	1.00237	1.00241	1.00234	1.00234	28	0	1
2022.09.01	05:54:00	1.00234	1.00234	1.00220	1.00220	52	0	1
2022.09.01	05:55:00	1.00221	1.00221	1.00214	1.00214	24	0	1
2022.09.01	05:56:00	1.00214	1.00227	1.00214	1.00220	41	0	1
2022.09.01	05:57:00	1.00220	1.00226	1.00216	1.00216	27	0	1
2022.09.01	05:58:00	1.00216	1.00225	1.00210	1.00224	32	0	1
2022.09.01	05:59:00	1.00225	1.00227	1.00224	1.00227	23	0	1
2022.09.01	06:00:00	1.00225	1.00231	1.00222	1.00228	50	0	1
2022.09.01	06:01:00	1.00228	1.00230	1.00219	1.00230	33	0	1
